0125世代:【1位】1.876点,1.604[m] 【2位】1.498点,1.244[m]
0126世代:【1位】1.876点,1.604[m] 【2位】1.619点,1.357[m]
0127世代:【1位】1.914点,1.686[m] 【2位】1.876点,1.604[m]
0128世代:【1位】1.914点,1.686[m] 【2位】1.815点,1.660[m]
0129世代:【1位】1.914点,1.686[m] 【2位】1.623点,1.589[m]
0130世代:【1位】1.914点,1.686[m] 【2位】1.580点,1.494[m]
0131世代:【1位】1.914点,1.686[m] 【2位】1.779点,1.748[m]
0132世代:【1位】1.914点,1.686[m] 【2位】1.517点,1.360[m]
0133世代:【1位】1.914点,1.686[m] 【2位】1.494点,1.441[m]
0134世代:【1位】1.914点,1.686[m] 【2位】1.627点,1.427[m]
0135世代:【1位】1.914点,1.686[m] 【2位】1.670点,1.485[m]
0136世代:【1位】1.914点,1.686[m] 【2位】1.837点,1.552[m]
0137世代:【1位】1.914点,1.686[m] 【2位】1.644点,1.576[m]
0138世代:【1位】1.914点,1.686[m] 【2位】1.801点,1.557[m]
0139世代:【1位】1.914点,1.686[m] 【2位】1.703点,1.551[m]
0140世代:【1位】1.914点,1.686[m] 【2位】1.663点,1.397[m]
0141世代:【1位】1.914点,1.686[m] 【2位】1.747点,1.654[m]
0142世代:【1位】1.914点,1.686[m] 【2位】1.788点,1.700[m]
0143世代:【1位】1.914点,1.686[m] 【2位】1.596点,1.559[m]
0144世代:【1位】1.914点,1.686[m] 【2位】1.619点,1.577[m]
0145世代:【1位】1.914点,1.686[m] 【2位】1.649点,1.306[m]
0146世代:【1位】1.914点,1.686[m] 【2位】1.603点,1.315[m]
0147世代:【1位】1.947点,1.674[m] 【2位】1.830点,1.611[m]
0148世代:【1位】1.947点,1.674[m] 【2位】1.440点,1.404[m]
0149世代:【1位】1.947点,1.674[m] 【2位】1.532点,1.457[m]
0150世代:【1位】1.947点,1.674[m] 【2位】1.422点,1.324[m]
0151世代:【1位】1.947点,1.674[m] 【2位】1.633点,1.579[m]
0152世代:【1位】1.947点,1.674[m] 【2位】1.615点,1.552[m]
0153世代:【1位】1.947点,1.674[m] 【2位】1.715点,1.496[m]
0154世代:【1位】1.947点,1.674[m] 【2位】1.587点,1.472[m]
0155世代:【1位】1.947点,1.674[m] 【2位】1.652点,1.590[m]
0156世代:【1位】1.947点,1.674[m] 【2位】1.763点,1.557[m]
0157世代:【1位】1.947点,1.674[m] 【2位】1.771点,1.563[m]
0158世代:【1位】1.947点,1.674[m] 【2位】1.557点,1.500[m]
0159世代:【1位】1.947点,1.674[m] 【2位】1.626点,1.440[m]
0160世代:【1位】1.947点,1.674[m] 【2位】1.788点,1.551[m]
0161世代:【1位】1.947点,1.674[m] 【2位】1.496点,1.435[m]
0162世代:【1位】1.947点,1.674[m] 【2位】1.391点,1.330[m]
0163世代:【1位】1.947点,1.674[m] 【2位】1.702点,1.360[m]
0164世代:【1位】1.947点,1.674[m] 【2位】1.491点,1.381[m]
0165世代:【1位】1.947点,1.674[m] 【2位】1.856点,1.810[m]
0166世代:【1位】1.947点,1.674[m] 【2位】1.425点,1.380[m]
0167世代:【1位】1.947点,1.674[m] 【2位】1.589点,1.356[m]
0168世代:【1位】1.947点,1.674[m] 【2位】1.486点,1.439[m]
0169世代:【1位】1.947点,1.674[m] 【2位】1.511点,1.432[m]
0170世代:【1位】1.947点,1.674[m] 【2位】1.501点,1.414[m]
0171世代:【1位】1.947点,1.674[m] 【2位】1.723点,1.477[m]
0172世代:【1位】1.947点,1.674[m] 【2位】1.451点,1.413[m]
0173世代:【1位】1.947点,1.674[m] 【2位】1.584点,1.544[m]
0174世代:【1位】1.947点,1.674[m] 【2位】1.768点,1.589[m]
0175世代:【1位】1.947点,1.674[m] 【2位】1.446点,1.302[m]
0176世代:【1位】1.947点,1.674[m] 【2位】1.574点,1.478[m]
0177世代:【1位】1.947点,1.674[m] 【2位】1.465点,1.235[m]
0178世代:【1位】1.947点,1.674[m] 【2位】1.496点,1.426[m]
0179世代:【1位】1.947点,1.674[m] 【2位】1.377点,1.319[m]
0180世代:【1位】1.947点,1.674[m] 【2位】1.581点,1.513[m]
0181世代:【1位】1.947点,1.674[m] 【2位】1.679点,1.496[m]
0182世代:【1位】1.947点,1.674[m] 【2位】1.550点,1.489[m]
0183世代:【1位】1.947点,1.674[m] 【2位】1.417点,1.379[m]
0184世代:【1位】1.947点,1.674[m] 【2位】1.637点,1.432[m]
0185世代:【1位】1.947点,1.674[m] 【2位】1.638点,1.429[m]
0186世代:【1位】1.947点,1.674[m] 【2位】1.645点,1.546[m]
0187世代:【1位】1.947点,1.674[m] 【2位】1.715点,1.656[m]
0188世代:【1位】1.947点,1.674[m] 【2位】1.787点,1.536[m]
0189世代:【1位】1.947点,1.674[m] 【2位】1.535点,1.421[m]
0190世代:【1位】1.947点,1.674[m] 【2位】1.489点,1.411[m]
0191世代:【1位】1.947点,1.674[m] 【2位】1.729点,1.671[m]
